AZ,Arizona,1961,1391000,2288,84,200,786,1218
AZ,Arizona,1962,1509000,2610,86,198,851,1475
AZ,Arizona,1963,1559000,3027,93,222,897,1815
AZ,Arizona,1964,1581000,3368,83,259,967,2059
AZ,Arizona,1965,1608000,3092,80,286,895,1831
AZ,Arizona,1966,1618000,3272,98,296,898,1980
AZ,Arizona,1967,1634000,3892,91,273,1224,2304
AZ,Arizona,1968,1670000,4402,105,313,1448,2536
AZ,Arizona,1969,1693000,5742,102,390,1692,3558
AZ,Arizona,1970,1772482,6564,168,478,2130,3788
AZ,Arizona,1971,1849000,7407,124,553,2095,4635
AZ,Arizona,1972,1945000,8731,142,650,2350,5589
AZ,Arizona,1973,2058000,9877,167,637,3031,6042
AZ,Arizona,1974,2153000,12202,206,807,4396,6793
AZ,Arizona,1975,2224000,12184,191,789,3780,7424
AZ,Arizona,1976,2270000,10335,177,674,2949,6535
AZ,Arizona,1977,2296000,11347,217,786,3173,7171
AZ,Arizona,1978,2354000,12996,221,1040,3835,7900
AZ,Arizona,1979,2450000,14528,219,1120,4305,8884
AZ,Arizona,1980,2715357,17673,279,1227,5258,10909
AZ,Arizona,1981,2793000,16082,227,1064,4961,9830
AZ,Arizona,1982,2860000,14785,236,1100,4537,8912
AZ,Arizona,1983,2963000,14642,213,1241,3923,9265
AZ,Arizona,1984,3053000,15756,238,1316,4003,10199
AZ,Arizona,1985,3187000,19202,254,1458,4670,12820
AZ,Arizona,1986,3317000,21835,307,1425,5614,14489
AZ,Arizona,1987,3386000,20742,253,1396,4687,14406
AZ,Arizona,1988,3466000,21147,294,1345,4750,14758
AZ,Arizona,1989,3556000,21320,237,1286,4944,14853
AZ,Arizona,1990,3665228,23911,284,1500,5897,16230
AZ,Arizona,1991,3750000,25152,291,1590,6215,17056
AZ,Arizona,1992,3832000,25706,312,1647,5867,17880
AZ,Arizona,1993,3936000,28142,339,1488,6412,19903
AZ,Arizona,1994,4075000,28653,426,1465,6601,20161
AZ,Arizona,1995,4218000,30095,439,1418,7329,20909
AZ,Arizona,1996,4428000,27963,377,1381,7429,18776
AZ,Arizona,1997,4555000,28411,375,1492,7547,18997
AZ,Arizona,1998,4669000,26984,376,1451,7715,17442
AZ,Arizona,1999,4778332,26334,384,1383,7288,17279
AZ,Arizona,2000,5130632,27281,359,1577,7504,17841
AZ,Arizona,2001,5306966,28675,400,1518,8868,17889
AZ,Arizona,2002,5441125,30171,387,1608,8000,20176
AZ,Arizona,2003,5579222,28638,441,1856,7619,18722
AZ,Arizona,2004,5739879,28952,414,1896,7721,18921
AZ,Arizona,2005,5953007,30478,445,2006,8579,19448
AZ,Arizona,2006,6166318,33456,533,2449,9491,20983
AZ,Arizona,2007,6338755,32835,548,2353,9764,20170
AZ,Arizona,2008,6500180,31567,462,2200,9809,19096
AZ,Arizona,2009,6595778,28128,380,2279,8199,17270
AZ,Arizona,2010,6413158,26528,408,2191,6953,16976
AZ,Arizona,2011,6467315,26789,397,2499,7145,16748
AZ,Arizona,2012,6553255,28108,358,2277,7386,18087
AR,Arkansas,1960,1786272,1924,152,159,443,1170
AR,Arkansas,1961,1797000,1809,163,130,446,1070
AR,Arkansas,1962,1823000,1667,144,124,400,999
AR,Arkansas,1963,1858000,1991,137,113,466,1275
AR,Arkansas,1964,1933000,2641,147,157,565,1772
AR,Arkansas,1965,1960000,2662,115,203,465,1879
AR,Arkansas,1966,1955000,3185,139,192,574,2280
AR,Arkansas,1967,1968000,4320,173,279,693,3175
AR,Arkansas,1968,2012000,4360,163,349,796,3052
AR,Arkansas,1969,1995000,4390,197,347,885,2961
AR,Arkansas,1970,1923295,4276,195,328,877,2876
AR,Arkansas,1971,1944000,4680,204,332,947,3197
AR,Arkansas,1972,1978000,4840,206,342,1084,3208
AR,Arkansas,1973,2037000,5905,180,398,1456,3871
AR,Arkansas,1974,2062000,6521,231,492,1664,4134
AR,Arkansas,1975,2116000,7369,213,547,1854,4755
AR,Arkansas,1976,2109000,6410,213,510,1618,4069
AR,Arkansas,1977,2144000,6924,188,592,1784,4360
AR,Arkansas,1978,2186000,7522,199,505,1748,5070
AR,Arkansas,1979,2180000,7984,198,595,1626,5565
AR,Arkansas,1980,2284037,7656,210,609,1848,4989
AR,Arkansas,1981,2294000,7119,209,577,1776,4557
AR,Arkansas,1982,2291000,7438,187,622,1805,4824
AR,Arkansas,1983,2328000,6930,178,586,1614,4552
AR,Arkansas,1984,2349000,7549,176,697,1587,5089
AR,Arkansas,1985,2359000,8199,187,686,1617,5709
AR,Arkansas,1986,2372000,9365,191,686,1890,6598
AR,Arkansas,1987,2388000,9839,182,779,1890,6988
AR,Arkansas,1988,2422000,10237,211,780,2037,7209
AR,Arkansas,1989,2406000,11397,203,924,2660,7610
AR,Arkansas,1990,2350725,12511,241,1019,2661,8590
AR,Arkansas,1991,2372000,14072,264,1058,3217,9533
AR,Arkansas,1992,2399000,13831,259,990,3011,9571
AR,Arkansas,1993,2424000,14381,247,1028,3027,10079
AR,Arkansas,1994,2453000,14598,294,1028,3158,10118
AR,Arkansas,1995,2484000,13741,259,925,3122,9435
AR,Arkansas,1996,2510000,13161,219,1046,2864,9032
AR,Arkansas,1997,2523000,13293,250,1098,2814,9131
AR,Arkansas,1998,2538000,12442,201,893,2442,8906
AR,Arkansas,1999,2551373,10848,143,710,2024,7971
AR,Arkansas,2000,2673400,11904,168,848,2001,8887
AR,Arkansas,2001,2694698,12190,148,892,2181,8969
AR,Arkansas,2002,2706268,11501,142,754,2524,8081
AR,Arkansas,2003,2727774,12449,180,911,2227,9131
AR,Arkansas,2004,2750000,13814,176,1183,2372,10083
AR,Arkansas,2005,2775708,14670,189,1202,2532,10747
AR,Arkansas,2006,2810872,15538,205,1325,2749,11259
AR,Arkansas,2007,2834797,15226,198,1294,3105,10629
AR,Arkansas,2008,2855390,14649,165,1463,2777,10244
AR,Arkansas,2009,2889450,14905,179,1378,2576,10772
AR,Arkansas,2010,2921588,14711,134,1321,2369,10887
AR,Arkansas,2011,2938582,14173,160,1230,2357,10426
AR,Arkansas,2012,2949131,13835,173,1247,2320,10095
CA,California,1960,15717204,37558,616,2859,15287,18796
CA,California,1961,16397000,38154,605,3033,14832,19684
CA,California,1962,16970000,39846,657,2946,15598,20645
CA,California,1963,17590000,42419,673,3080,16458,22208
CA,California,1964,18084000,48026,740,3621,18667,24998
CA,California,1965,18602000,52490,880,3948,21081,26581
CA,California,1966,18918000,57718,868,4432,22317,30101
CA,California,1967,19153000,67446,1039,4792,28539,33076
CA,California,1968,19221000,81293,1150,5744,36991,37408
CA,California,1969,19443000,89878,1386,7053,39240,42199
CA,California,1970,19953134,94741,1376,7005,41277,45083
CA,California,1971,20223000,104872,1642,7300,47626,48304
CA,California,1972,20468000,110667,1791,8127,48829,51920
